Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
45,45,2016-01-25,,ATL,L,105,119,99.0,.440,.238,.524,50.6,54.5,10.1,5.1,.429,13.0,27.3,.393,.552,12.6,75.6,.279
46,46,2016-01-27,@,BOS,L,103,111,101.4,.381,.250,.525,52.5,63.9,3.9,8.8,.470,16.9,29.2,.286,.474,9.4,73.6,.208
47,47,2016-01-28,@,WAS,W,117,113,100.3,.407,.222,.612,48.8,61.0,9.0,8.3,.562,13.6,19.4,.321,.506,12.2,72.7,.273
48,48,2016-01-30,@,IND,L,105,109,95.8,.287,.207,.536,47.9,60.0,9.5,4.1,.483,16.2,18.6,.241,.485,12.3,72.5,.120
49,49,2016-02-01,,TOR,W,112,93,97.9,.181,.265,.625,58.3,62.2,6.1,9.4,.602,17.5,21.2,.145,.423,11.2,82.4,.346
50,50,2016-02-03,@,UTA,L,81,85,86.8,.471,.257,.479,51.9,42.3,13.8,3.8,.400,14.2,23.1,.357,.480,14.5,80.0,.189
51,51,2016-02-05,,CHI,W,115,110,99.9,.506,.207,.541,54.5,56.4,5.0,9.9,.483,8.6,31.0,.356,.489,8.7,76.1,.204
52,52,2016-02-07,@,NYK,W,101,96,91.6,.326,.244,.514,51.1,54.1,6.5,4.8,.459,6.6,23.4,.256,.488,9.7,78.7,.167
53,53,2016-02-08,@,BRK,L,104,105,93.0,.144,.278,.543,51.9,57.1,10.7,3.2,.517,11.1,27.9,.122,.574,14.6,78.9,.148
54,54,2016-02-10,@,DET,W,103,92,96.2,.289,.229,.550,52.8,64.1,10.4,4.9,.506,11.4,18.6,.229,.489,13.3,84.8,.068
55,55,2016-02-19,@,SAC,L,110,116,109.2,.289,.267,.542,49.4,61.9,11.0,8.1,.511,15.1,19.1,.200,.554,18.5,83.3,.289
56,56,2016-02-21,,BOS,L,101,121,104.2,.466,.288,.574,42.9,55.9,10.6,7.7,.507,21.4,15.4,.370,.536,13.8,66.7,.175
57,57,2016-02-23,,SAC,L,110,114,105.4,.220,.270,.501,46.8,65.9,9.5,4.5,.460,9.9,21.4,.180,.560,14.4,84.2,.253
58,58,2016-02-24,@,LAC,W,87,81,97.0,.189,.267,.446,54.8,52.9,11.3,5.1,.411,14.1,26.9,.144,.429,15.7,82.7,.094
59,59,2016-02-26,@,DAL,L,116,122,92.3,.333,.312,.544,52.1,41.9,6.9,5.1,.511,12.3,34.0,.226,.574,12.3,75.6,.239
60,60,2016-02-29,,MEM,L,96,103,90.5,.133,.333,.605,59.7,67.5,3.3,7.3,.587,19.3,25.8,.107,.500,8.1,88.9,.373
61,61,2016-03-02,,LAL,W,117,107,92.9,.487,.295,.618,57.5,57.9,3.2,12.5,.564,10.4,21.9,.372,.513,6.1,85.4,.329
62,62,2016-03-04,,BRK,L,120,121,91.9,.260,.271,.561,59.5,60.9,7.9,8.7,.510,12.3,39.5,.229,.577,11.5,80.5,.176
63,63,2016-03-06,,DAL,W,116,114,95.6,.234,.243,.492,55.8,56.8,7.6,9.6,.453,8.5,30.9,.178,.527,10.5,83.7,.172
64,64,2016-03-08,,NYK,W,110,94,97.0,.192,.212,.512,51.1,62.2,9.3,5.3,.485,5.3,22.9,.141,.480,15.6,85.0,.293
65,65,2016-03-10,,PHO,W,116,98,98.1,.209,.308,.584,48.5,61.4,9.2,18.0,.555,10.0,23.4,.165,.404,11.9,70.4,.292
66,66,2016-03-12,,WAS,W,116,100,102.4,.363,.300,.625,54.3,57.1,9.8,12.3,.575,18.5,26.5,.300,.459,16.1,74.5,.244
67,67,2016-03-14,@,MIA,L,119,124,97.8,.215,.215,.584,54.8,44.9,9.2,3.2,.565,10.5,32.5,.151,.646,13.3,81.8,.278
68,68,2016-03-15,@,ORL,L,110,116,97.3,.300,.300,.607,51.4,57.5,8.2,1.8,.556,15.0,19.4,.263,.593,12.4,83.3,.247
69,69,2016-03-17,@,ATL,L,98,116,95.9,.195,.253,.519,49.4,56.4,6.3,7.4,.483,12.9,21.4,.161,.575,11.5,81.1,.300
70,70,2016-03-19,@,CHO,W,101,93,92.7,.264,.207,.520,57.3,50.0,6.5,7.8,.489,11.8,31.8,.184,.476,10.7,82.2,.169
71,71,2016-03-21,@,CLE,L,91,124,95.1,.309,.272,.495,44.9,59.4,10.5,7.3,.444,14.8,22.2,.235,.645,11.4,75.8,.151
72,72,2016-03-23,,PHI,W,104,103,99.6,.526,.224,.556,50.5,54.5,7.0,15.8,.474,14.6,15.9,.421,.473,8.2,83.0,.149
73,73,2016-03-25,@,LAL,W,116,105,98.3,.255,.277,.555,52.7,68.9,5.1,11.3,.532,7.9,26.5,.170,.494,10.2,83.3,.247
74,74,2016-03-27,@,LAC,L,90,105,87.0,.138,.309,.451,50.0,64.9,8.0,9.6,.431,13.1,42.6,.096,.538,13.3,58.5,.238
75,75,2016-03-28,,DAL,L,88,97,88.4,.271,.343,.562,56.4,64.5,3.4,7.1,.507,21.1,19.4,.243,.472,3.1,80.9,.159
76,76,2016-03-30,@,MEM,W,109,105,91.0,.308,.372,.615,47.7,63.2,4.4,9.2,.571,13.7,29.7,.256,.463,8.6,60.8,.179
77,77,2016-03-31,@,NOP,L,95,101,93.6,.205,.325,.525,44.0,77.8,10.7,11.5,.494,12.6,17.8,.157,.517,14.6,69.6,.089
78,78,2016-04-02,,SAC,L,106,115,95.5,.261,.315,.517,51.0,67.5,3.1,14.9,.484,8.9,28.8,.185,.511,6.4,76.1,.284
79,79,2016-04-05,,OKC,L,102,124,100.5,.307,.341,.511,40.9,75.7,9.0,7.4,.477,11.5,19.2,.205,.615,14.8,68.3,.195
80,80,2016-04-08,,SAS,W,102,98,96.6,.221,.256,.540,51.1,52.5,9.3,9.9,.500,10.4,17.8,.186,.441,9.3,83.0,.271
81,81,2016-04-10,,UTA,L,84,100,88.5,.238,.338,.475,45.6,56.3,6.8,14.6,.438,11.1,13.6,.175,.532,9.3,76.1,.203
82,82,2016-04-13,@,POR,L,99,107,98.3,.191,.266,.486,54.1,60.0,10.2,11.3,.463,16.4,38.5,.128,.500,13.2,71.7,.202
