Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
49,49,2016-02-01,@,BRK,W,105,100,90.8,.163,.306,.500,55.7,42.9,5.5,6.1,.480,7.9,37.3,.112,.530,11.0,81.1,.159
50,50,2016-02-03,@,BOS,L,95,102,102.9,.329,.400,.488,49.5,56.3,2.9,6.7,.441,14.1,17.3,.235,.474,9.0,86.7,.115
51,51,2016-02-04,,NYK,W,111,105,99.3,.418,.215,.593,49.4,42.5,7.0,4.8,.563,12.2,10.3,.278,.464,8.3,82.6,.321
52,52,2016-02-06,@,IND,L,104,112,94.7,.392,.418,.561,48.1,36.8,7.4,4.6,.557,13.1,25.0,.203,.579,15.3,77.1,.316
53,53,2016-02-08,,TOR,L,89,103,90.4,.213,.350,.509,52.0,61.1,7.7,4.0,.500,15.5,24.4,.113,.636,16.2,93.3,.200
54,54,2016-02-10,,DEN,L,92,103,96.2,.080,.307,.505,47.2,55.3,5.2,12.5,.489,13.3,15.2,.068,.506,11.4,81.4,.229
55,55,2016-02-19,@,WAS,L,86,98,91.6,.207,.280,.481,46.6,37.1,2.2,5.4,.470,11.8,13.3,.110,.506,9.1,81.4,.244
56,56,2016-02-21,,NOP,L,106,111,100.2,.360,.371,.514,44.6,48.6,9.0,9.1,.483,9.6,21.6,.225,.500,13.2,73.2,.291
57,57,2016-02-22,@,CLE,W,96,88,95.1,.263,.313,.538,51.8,45.9,10.5,5.7,.513,12.7,14.6,.175,.481,16.7,88.1,.152
58,58,2016-02-24,,PHI,W,111,91,98.8,.410,.337,.567,55.6,56.4,10.1,1.7,.536,14.0,25.0,.265,.440,12.9,80.0,.217
59,59,2016-02-27,@,MIL,W,102,91,90.0,.273,.341,.517,51.1,64.9,14.4,3.0,.489,9.2,34.7,.182,.532,20.1,70.7,.103
60,60,2016-02-28,,TOR,W,114,101,83.9,.380,.324,.688,54.3,68.3,2.4,1.7,.662,10.8,22.6,.282,.550,5.4,79.5,.163
61,61,2016-03-02,@,SAS,L,81,97,92.1,.295,.244,.460,50.6,61.3,3.3,1.4,.436,14.5,16.3,.167,.530,8.3,87.5,.095
62,62,2016-03-05,@,NYK,L,89,102,89.3,.163,.283,.451,47.2,36.1,6.7,1.6,.424,8.4,26.4,.120,.557,10.3,77.8,.177
63,63,2016-03-06,,POR,W,123,103,96.3,.333,.262,.638,59.2,50.0,7.3,2.1,.595,11.1,26.3,.274,.519,12.9,92.1,.282
64,64,2016-03-09,@,DAL,W,102,96,91.2,.353,.318,.519,56.0,50.0,7.7,5.4,.500,10.1,31.3,.200,.506,8.1,83.7,.105
65,65,2016-03-11,@,CHO,L,103,118,94.6,.355,.395,.586,47.1,52.8,7.4,6.9,.533,12.0,9.7,.289,.566,9.5,76.9,.289
66,66,2016-03-12,@,PHI,W,125,111,100.2,.242,.198,.621,59.1,53.1,6.0,5.1,.588,11.4,28.6,.198,.524,11.1,87.0,.274
67,67,2016-03-14,@,WAS,L,81,124,98.3,.278,.291,.457,49.4,53.1,5.1,5.6,.424,18.4,23.9,.177,.611,9.3,84.8,.156
68,68,2016-03-16,,ATL,L,114,118,104.4,.464,.298,.563,51.1,59.0,2.9,7.3,.512,11.4,19.1,.333,.506,10.3,83.0,.315
69,69,2016-03-18,,SAC,W,115,108,94.9,.196,.283,.575,58.3,56.8,7.4,9.4,.543,13.1,36.4,.163,.532,10.7,82.5,.304
70,70,2016-03-19,,BRK,W,115,103,91.7,.223,.255,.557,52.9,65.2,5.5,6.1,.543,5.5,30.6,.138,.556,9.2,83.3,.175
71,71,2016-03-21,,MIL,W,92,91,89.1,.200,.388,.497,49.4,51.4,6.7,4.5,.465,11.5,22.2,.153,.572,14.1,85.3,.053
72,72,2016-03-23,,ORL,W,118,102,93.2,.313,.300,.648,50.6,69.8,4.3,6.8,.606,14.2,25.0,.263,.439,5.3,67.9,.163
73,73,2016-03-25,,CHO,W,112,105,100.4,.286,.330,.547,59.6,52.4,4.0,9.5,.505,12.0,30.0,.220,.473,6.4,87.0,.183
74,74,2016-03-26,,ATL,L,95,112,95.8,.318,.330,.473,57.6,73.5,2.1,6.6,.426,9.9,29.2,.227,.521,3.8,88.6,.137
75,75,2016-03-29,,OKC,W,88,82,93.1,.230,.218,.459,54.1,60.6,6.4,6.6,.402,14.3,34.0,.207,.415,17.2,72.5,.171
76,76,2016-04-01,,DAL,L,89,98,90.3,.296,.407,.486,49.5,74.2,4.4,6.6,.463,10.7,23.1,.173,.506,9.9,81.4,.141
77,77,2016-04-02,@,CHI,W,94,90,92.0,.447,.263,.517,48.9,53.1,8.7,3.2,.487,9.9,16.3,.263,.438,10.4,77.6,.148
78,78,2016-04-05,@,MIA,L,89,107,90.2,.313,.275,.489,51.2,43.8,7.8,1.4,.431,12.5,26.1,.250,.577,9.1,81.6,.119
79,79,2016-04-06,@,ORL,W,108,104,97.9,.360,.314,.542,47.8,61.5,9.2,8.0,.517,10.7,25.0,.221,.500,12.5,72.7,.156
80,80,2016-04-08,,WAS,W,112,99,93.2,.377,.416,.624,55.0,47.2,5.4,3.0,.558,11.8,21.9,.338,.477,11.1,77.1,.198
81,81,2016-04-12,,MIA,L,93,99,91.6,.357,.214,.478,55.2,44.1,9.8,6.9,.435,13.4,36.7,.238,.532,13.8,78.9,.205
82,82,2016-04-13,@,CLE,W,112,110,91.1,.329,.388,.575,52.2,64.9,5.0,13.9,.529,11.0,20.5,.259,.510,8.8,82.6,.113
