Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,Space,OBPM,DBPM,BPM,VORP
355,Tomas Satoransky\satorto01,SG,25,WAS,17,295,8.2,.451,.246,.246,3.0,9.3,6.1,21.0,1.7,0.0,18.2,13.8,,0.0,0.2,0.1,.020,,-2.9,-1.3,-4.2,-0.2
356,Dennis Schroder\schrode01,PG,23,ATL,21,616,14.9,.514,.272,.214,1.6,9.4,5.5,34.4,1.2,0.5,16.8,26.7,,0.2,0.6,0.7,.057,,-0.4,-1.6,-2.1,0.0
357,Luis Scola\scolalu01,PF,36,BRK,18,242,13.1,.532,.329,.301,12.0,19.9,15.9,11.2,1.8,1.0,19.5,18.0,,0.1,0.2,0.3,.052,,-1.6,-0.1,-1.8,0.0
358,Mike Scott\scottmi01,PF,28,ATL,3,28,-1.2,.111,.556,.000,3.9,27.2,15.6,28.2,0.0,0.0,18.2,16.9,,-0.1,0.0,-0.1,-0.186,,-10.4,0.1,-10.4,-0.1
359,Thabo Sefolosha\sefolth01,SF,32,ATL,18,435,14.3,.551,.255,.182,4.3,16.7,10.6,10.3,4.0,0.7,14.4,13.7,,0.3,0.8,1.1,.124,,-1.4,3.7,2.3,0.5
360,Kevin Seraphin\serapke01,PF,27,IND,11,106,18.5,.503,.000,.091,16.6,22.6,19.6,9.3,1.4,3.2,9.9,21.0,,0.1,0.1,0.3,.115,,-1.3,-0.1,-1.4,0.0
361,Ramon Sessions\sessira01,PG,30,CHO,20,335,12.2,.471,.232,.505,1.3,7.0,4.2,29.9,1.8,0.5,13.6,18.6,,0.1,0.3,0.5,.067,,-2.5,-1.9,-4.4,-0.2
362,Iman Shumpert\shumpim01,SG,26,CLE,17,368,11.6,.630,.551,.269,3.4,8.9,6.2,12.3,2.3,1.3,21.6,13.2,,0.4,0.3,0.7,.097,,0.3,1.0,1.3,0.3
363,Pascal Siakam\siakapa01,PF,22,TOR,20,394,13.3,.585,.020,.121,8.2,14.6,11.4,2.9,1.5,3.1,12.6,13.5,,0.5,0.4,0.9,.114,,-0.5,0.8,0.3,0.2
364,Jonathon Simmons\simmojo02,SG,27,SAS,20,377,11.5,.507,.226,.452,2.2,10.7,6.5,16.2,2.2,1.8,14.6,16.0,,0.2,0.4,0.6,.076,,-1.5,0.9,-0.5,0.1
365,Kyle Singler\singlky01,SF,28,OKC,10,120,-0.1,.353,.571,.143,1.0,12.8,7.0,1.1,0.4,1.3,14.4,12.3,,-0.3,0.1,-0.2,-0.064,,-7.6,-1.8,-9.3,-0.2
366,Marcus Smart\smartma01,PG,22,BOS,17,521,9.4,.439,.491,.207,3.3,10.8,7.1,19.2,2.0,1.1,14.8,18.6,,-0.3,0.4,0.1,.005,,-2.1,-0.2,-2.4,0.0
367,Ish Smith\smithis01,PG,28,DET,21,622,15.1,.473,.111,.142,0.9,10.2,5.6,32.4,1.8,0.9,11.5,19.5,,0.5,0.8,1.3,.100,,-0.3,0.9,0.6,0.4
368,J.R. Smith\smithjr01,SG,31,CLE,15,459,7.2,.460,.838,.046,1.5,6.4,4.0,6.0,2.5,1.3,7.7,13.6,,-0.1,0.4,0.3,.034,,-0.5,0.7,0.2,0.3
369,Jason Smith\smithja02,C,30,WAS,17,203,2.2,.401,.019,.037,6.6,16.3,11.4,2.8,0.7,2.9,22.6,15.2,,-0.5,0.2,-0.3,-0.070,,-8.1,-0.4,-8.5,-0.3
370,Tony Snell\snellto01,SF,25,MIL,17,493,8.7,.533,.688,.085,2.5,12.8,7.7,5.3,0.7,0.4,8.7,14.3,,0.2,0.4,0.6,.057,,-0.3,-1.9,-2.2,0.0
